,block_index,trial,trial_onset(s),stimulus_type,resp_key,rt(s),correct,is_omission,is_comission
108,1.0,108,146.1634504001122,Go,space,0.4338257999625057,Correct,False,False
109,1.0,109,147.1620918000117,Go,space,0.3824060999322682,Correct,False,False
110,1.0,110,148.1604764999356,Go,space,0.5004894000012428,Correct,False,False
111,1.0,111,149.16114480001852,No_go,,0.0,Correct,False,False
112,1.0,112,150.15845729992725,No_go,,0.0,Correct,False,False
113,1.0,113,151.15752150001936,No_go,,0.0,Correct,False,False
114,1.0,114,152.15677900006995,Go,space,0.4327314000111073,Correct,False,False
115,1.0,115,153.1554076001048,Go,space,0.4994477001018822,Correct,False,False
116,1.0,116,154.15442220005207,Go,space,0.4822586001828313,Correct,False,False
117,1.0,117,155.153803500114,Go,space,0.4500665001105517,Correct,False,False
118,1.0,118,156.15326840011403,Go,space,0.6164983999915421,Correct,False,False
119,1.0,119,157.15175760001875,No_go,,0.0,Correct,False,False
120,1.0,120,158.15067530004308,Go,space,0.4671502001583576,Correct,False,False
121,1.0,121,159.1500381999649,Go,space,0.4325208000373095,Correct,False,False
122,1.0,122,160.14893290004693,Go,space,0.4001510001253336,Correct,False,False
123,1.0,123,161.14810590003617,Go,space,0.3505675001069903,Correct,False,False
124,1.0,124,162.14702289993875,Go,space,0.3667633000295609,Correct,False,False
125,1.0,125,163.1459433999844,Go,space,0.4174440999049693,Correct,False,False
126,1.0,126,164.1453504001256,Go,space,0.4834937998093664,Correct,False,False
127,1.0,127,165.1447266000323,No_go,,0.0,Correct,False,False
128,1.0,128,166.1438987001311,Go,space,0.5168743999674916,Correct,False,False
129,1.0,129,167.14250660012476,Go,space,0.4668870999012142,Correct,False,False
130,1.0,130,168.14116799994372,Go,space,0.5661373999901116,Correct,False,False
131,1.0,131,169.14043359993957,Go,space,0.3829243001528084,Correct,False,False
132,1.0,132,170.13952530012466,Go,space,0.38367690006271,Correct,False,False
133,1.0,133,171.1383128000889,Go,space,0.4005996000487357,Correct,False,False
134,1.0,134,172.1382269000169,Go,space,0.4168507000431418,Correct,False,False
135,2.0,135,197.50974430004132,Go,space,0.5554194999858737,Correct,False,False
136,2.0,136,198.49636500002816,No_go,,0.0,Correct,False,False
137,2.0,137,199.49579289997928,Go,space,0.4993843999691307,Correct,False,False
138,2.0,138,200.4940877000336,Go,space,0.5339961000718176,Correct,False,False
139,2.0,139,201.4937589999754,No_go,,0.0,Correct,False,False
140,2.0,140,202.4929764000699,Go,space,0.4171269000507891,Correct,False,False
141,2.0,141,203.49125079996884,Go,space,0.500602199928835,Correct,False,False
142,2.0,142,204.49087100010365,Go,space,0.4506381000392139,Correct,False,False
143,2.0,143,205.48991440003735,Go,space,0.4835660001263022,Correct,False,False
144,2.0,144,206.48853270011023,No_go,,0.0,Correct,False,False
145,2.0,145,207.48732999991623,Go,space,0.4674599000718444,Correct,False,False
146,2.0,146,208.4864495000802,Go,space,0.4506852000486105,Correct,False,False
147,2.0,147,209.48603529995307,Go,space,0.5176840999629349,Correct,False,False
148,2.0,148,210.4886255001184,No_go,,0.0,Correct,False,False
149,2.0,149,211.4843250000849,Go,space,0.436914199963212,Correct,False,False
150,2.0,150,212.48377950000577,No_go,,0.0,Correct,False,False
151,2.0,151,213.48223259998483,Go,space,0.4170145997777581,Correct,False,False
152,2.0,152,214.48122439999133,Go,space,0.4675604999065399,Correct,False,False
153,2.0,153,215.48079619999044,Go,space,0.5334507999941707,Correct,False,False
154,2.0,154,216.47919290000573,Go,space,0.4502734001725912,Correct,False,False
155,2.0,155,217.4782511999365,Go,space,0.4009365001693368,Correct,False,False
156,2.0,156,218.47733779996636,No_go,,0.0,Correct,False,False
157,2.0,157,219.47621389990672,Go,space,0.4190368000417948,Correct,False,False
158,2.0,158,220.4758218000643,No_go,,0.0,Correct,False,False
159,2.0,159,221.47522919997573,Go,space,0.387543800054118,Correct,False,False
160,2.0,160,222.47389689995907,Go,space,0.4186969001311809,Correct,False,False
161,2.0,161,223.4725419001188,Go,space,0.4507597000338137,Correct,False,False
162,2.0,162,224.4712018000428,Go,space,0.3849637000821531,Correct,False,False
163,2.0,163,225.4707325999625,Go,space,0.4003867998253554,Correct,False,False
164,2.0,164,226.4703655000776,Go,space,0.434831399936229,Correct,False,False
165,2.0,165,227.46993770007973,Go,space,0.4348373999819159,Correct,False,False
166,2.0,166,228.46902259998024,Go,space,0.3997657999861985,Correct,False,False
167,2.0,167,229.4683952999767,No_go,,0.0,Correct,False,False
168,2.0,168,230.467485900037,Go,space,0.3500741999596357,Correct,False,False
169,2.0,169,231.46624609990977,Go,space,0.3676771000027656,Correct,False,False
170,2.0,170,232.46558790002015,No_go,,0.0,Correct,False,False
171,2.0,171,233.46465450013056,Go,space,0.3501017999369651,Correct,False,False
172,2.0,172,234.463007299928,Go,space,0.5197757000569254,Correct,False,False
173,2.0,173,235.46286839991808,Go,space,0.4496355000883341,Correct,False,False
174,2.0,174,236.46110170008612,Go,space,0.4337615000549704,Correct,False,False
175,2.0,175,237.46056549996135,Go,space,0.3835585000924766,Correct,False,False
176,2.0,176,238.4598149000667,Go,space,0.382830899907276,Correct,False,False
177,2.0,177,239.45887889992449,Go,space,0.3996690001804381,Correct,False,False
178,2.0,178,240.46119039994664,Go,space,0.3463727000635117,Correct,False,False
179,2.0,179,241.4562329000328,No_go,space,0.3671399001032114,Incorrect,False,True
180,2.0,180,242.4555138000287,Go,space,0.3842378999106586,Correct,False,False
181,2.0,181,243.4547115000896,Go,space,0.4013628999236971,Correct,False,False
182,2.0,182,244.4537355999928,Go,space,0.3837129999883473,Correct,False,False
183,2.0,183,245.45262170000933,Go,space,0.3838820001110434,Correct,False,False
184,2.0,184,246.45195959997363,No_go,,0.0,Correct,False,False
185,2.0,185,247.45157700008716,No_go,,0.0,Correct,False,False
186,2.0,186,248.4510967000388,Go,space,0.3988592000678181,Correct,False,False
187,2.0,187,249.44893399998543,No_go,,0.0,Correct,False,False
188,2.0,188,250.44785819994289,Go,space,0.4664835000876337,Correct,False,False
189,2.0,189,251.4466866999865,No_go,,0.0,Correct,False,False
190,2.0,190,252.446899099974,Go,space,0.4324803999625146,Correct,False,False
191,2.0,191,253.44552529999052,Go,space,0.4664775000419467,Correct,False,False
192,2.0,192,254.4440248999745,No_go,,0.0,Correct,False,False
193,2.0,193,255.44385050004348,Go,space,0.3660635999403894,Correct,False,False
194,2.0,194,256.4423837999348,Go,space,0.5005314000882208,Correct,False,False
195,2.0,195,257.4413952000905,No_go,,0.0,Correct,False,False
196,2.0,196,258.4409153999295,No_go,,0.0,Correct,False,False
197,2.0,197,259.43942889990285,Go,space,0.4338696000631898,Correct,False,False
198,2.0,198,260.43888689996675,Go,space,0.3831627999898046,Correct,False,False
199,2.0,199,261.4378225000109,Go,space,0.3839787999168038,Correct,False,False
200,2.0,200,262.43657459993847,Go,space,0.3839096999727189,Correct,False,False
201,2.0,201,263.4429041999392,Go,space,0.3598122000694275,Correct,False,False
202,2.0,202,264.43509970000014,Go,space,0.3506295001134276,Correct,False,False
203,2.0,203,265.4339697000105,Go,space,0.3672587000764906,Correct,False,False
204,2.0,204,266.43303590011783,Go,space,0.3844144998583942,Correct,False,False
205,2.0,205,267.4323460001033,No_go,,0.0,Correct,False,False
206,2.0,206,268.44569059996866,Go,space,0.3362902000080794,Correct,False,False
207,2.0,207,269.4299868999515,Go,space,0.3838571000378579,Correct,False,False
208,2.0,208,270.4292778999079,Go,space,0.3496658999938518,Correct,False,False
209,2.0,209,271.42814510012977,Go,space,0.3835239999461919,Correct,False,False
210,2.0,210,272.4273459999822,Go,space,0.4000742000062018,Correct,False,False
211,2.0,211,273.4264992000535,Go,space,0.3906425999011844,Correct,False,False
212,2.0,212,274.42546160006896,Go,space,0.3671766999177634,Correct,False,False
213,2.0,213,275.4245337001048,Go,space,0.350548299960792,Correct,False,False
214,2.0,214,276.42387540009804,Go,space,0.4162898999638855,Correct,False,False
215,2.0,215,277.4226206999738,Go,space,0.384002499980852,Correct,False,False
216,2.0,216,278.4216195000336,Go,space,0.4184466002043336,Correct,False,False
217,2.0,217,279.4212645001244,Go,space,0.3503065998665988,Correct,False,False
218,2.0,218,280.41978070000187,Go,space,0.3173736000899225,Correct,False,False
219,2.0,219,281.41895750002004,Go,space,0.4340401000808924,Correct,False,False
220,2.0,220,282.4181248000823,Go,space,0.4007373000495136,Correct,False,False
221,2.0,221,283.42031840002164,Go,space,0.3669411998707801,Correct,False,False
222,2.0,222,284.41604729997925,Go,space,0.334442300023511,Correct,False,False
223,2.0,223,285.4162506000139,Go,space,0.366389200091362,Correct,False,False
224,2.0,224,286.4145353001077,Go,space,0.401694200001657,Correct,False,False
225,3.0,225,307.08618830004707,Go,space,0.4829270998016,Correct,False,False
226,3.0,226,308.0767351000104,No_go,,0.0,Correct,False,False
227,3.0,227,309.0763584999368,Go,space,0.3511755000799894,Correct,False,False
228,3.0,228,310.0757174999453,Go,space,0.4162341000046581,Correct,False,False
229,3.0,229,311.0748823999893,Go,space,0.4168159000109881,Correct,False,False
230,3.0,230,312.07419939991087,Go,space,0.416322800097987,Correct,False,False
231,3.0,231,313.07280239998363,Go,space,0.3994126999750733,Correct,False,False
232,3.0,232,314.0722378999926,Go,space,0.4330464999657124,Correct,False,False
